_id,year,month,idgeo,isoalpha3,source,indicator,area,quintile,sex,education_level,age,ethnicity,value,se,cv,sample,language,collection_en,collection_es,theme_en,theme_es,disability,migration,management,funding
180,2003,NA,country,ARG,ARG-EPHC,formalidad_1,Total,Total,Total,Total,Total,Total,0.329643756607655,0.014701653213465,0.044598609616512,39166.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
360,2004,NA,country,ARG,ARG-EPHC,formalidad_1,Total,Total,Total,Total,Total,Total,0.351030674534266,0.014821393674081,0.042222502901622,40109.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
546,2005,NA,country,ARG,ARG-EPHC,formalidad_1,Total,Total,Total,Total,Total,Total,0.378509760659984,0.015022011181553,0.039687249161977,39982.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
732,2006,NA,country,ARG,ARG-EPHC,formalidad_1,Total,Total,Total,Total,Total,Total,0.410128286369259,0.015035810744367,0.036661238066446,54718.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
918,2007,NA,country,ARG,ARG-EPHC,formalidad_1,Total,Total,Total,Total,Total,Total,0.451215749546705,0.015213317480088,0.03371628205658,51945.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
1104,2008,NA,country,ARG,ARG-EPHC,formalidad_1,Total,Total,Total,Total,Total,Total,0.457214045590329,0.015148644405686,0.033132500087846,52277.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
1290,2009,NA,country,ARG,ARG-EPHC,formalidad_1,Total,Total,Total,Total,Total,Total,0.45840584751449,0.015020074463805,0.032765887575922,50565.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
1476,2010,NA,country,ARG,ARG-EPHC,formalidad_1,Total,Total,Total,Total,Total,Total,0.481448584536989,0.015039343575462,0.031237694031078,49680.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
1662,2011,NA,country,ARG,ARG-EPHC,formalidad_1,Total,Total,Total,Total,Total,Total,0.487016347575537,0.01489081142233,0.030575588471434,48749.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
1848,2012,NA,country,ARG,ARG-EPHC,formalidad_1,Total,Total,Total,Total,Total,Total,0.481988028236405,0.014785039137409,0.03067511695572,46920.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
2034,2013,NA,country,ARG,ARG-EPHC,formalidad_1,Total,Total,Total,Total,Total,Total,0.488548936419529,0.014792866254034,0.0302791903764,47020.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
2220,2014,NA,country,ARG,ARG-EPHC,formalidad_1,Total,Total,Total,Total,Total,Total,0.484969898609257,0.014701287437578,0.030313814279477,51329.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
2406,2015,NA,country,ARG,ARG-EPHC,formalidad_1,Total,Total,Total,Total,Total,Total,0.501038452551225,0.014750158087014,0.029439173803742,50090.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
2592,2016,NA,country,ARG,ARG-EPHC,formalidad_1,Total,Total,Total,Total,Total,Total,0.48115796143537,0.014465066872466,0.030063031336559,49301.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
2778,2017,NA,country,ARG,ARG-EPHC,formalidad_1,Total,Total,Total,Total,Total,Total,0.47489142330284,0.014307355074726,0.03012763417629,49969.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
2964,2018,NA,country,ARG,ARG-EPHC,formalidad_1,Total,Total,Total,Total,Total,Total,0.461651943568319,0.014156179373406,0.030664182336127,49007.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
3150,2019,NA,country,ARG,ARG-EPHC,formalidad_1,Total,Total,Total,Total,Total,Total,0.44728750598306,0.013959948644012,0.031210236050144,50407.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
3336,2020,NA,country,ARG,ARG-EPHC,formalidad_1,Total,Total,Total,Total,Total,Total,0.452685170428512,0.01434076236951,0.03167932882788,35552.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
3522,2021,NA,country,ARG,ARG-EPHC,formalidad_1,Total,Total,Total,Total,Total,Total,0.466277332456774,0.013821750628091,0.02964276765346,43237.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
3708,2022,NA,country,ARG,ARG-EPHC,formalidad_1,Total,Total,Total,Total,Total,Total,0.450149625810559,0.013586281826269,0.030181701921456,43443.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
3894,2009,NA,country,BHS,BHS-LFS,formalidad_1,Total,Total,Total,Total,Total,Total,0.721093785815598,0.106053890489536,0.147073643644818,5706.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
4076,2011,NA,country,BHS,BHS-LFS,formalidad_1,Total,Total,Total,Total,Total,Total,0.691959871442576,0.107375695692122,0.155176188856542,3936.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
4260,2013,NA,country,BHS,BHS-LFS,formalidad_1,Total,Total,Total,Total,Total,Total,0.677026823152783,0.12663398664099,0.187044268129998,3979.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
4446,2014,NA,country,BHS,BHS-LFS,formalidad_1,Total,Total,Total,Total,Total,Total,0.703636962660947,0.104353429128869,0.148305780773988,4262.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
4736,2003,NA,country,BOL,BOL-ECH,formalidad_1,Total,Total,Total,Total,Total,Total,0.103792611929126,0.015658074651328,0.150859240945005,15651.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
5022,2006,NA,country,BOL,BOL-ECH,formalidad_1,Total,Total,Total,Total,Total,Total,0.131864347838775,0.016684907742875,0.126530847923165,6896.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
5306,2007,NA,country,BOL,BOL-ECH,formalidad_1,Total,Total,Total,Total,Total,Total,0.140046603684922,0.016876587601309,0.120506939527632,7145.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
5597,2008,NA,country,BOL,BOL-ECH,formalidad_1,Total,Total,Total,Total,Total,Total,0.135695243040964,0.016343987844425,0.12044628446917,6725.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
5900,2009,NA,country,BOL,BOL-ECH,formalidad_1,Total,Total,Total,Total,Total,Total,0.154302720778581,0.016924772856666,0.109685511514421,6887.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
6213,2011,NA,country,BOL,BOL-ECH,formalidad_1,Total,Total,Total,Total,Total,Total,0.181790761815644,0.017984979681868,0.098932308233057,15044.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
6522,2012,NA,country,BOL,BOL-ECH,formalidad_1,Total,Total,Total,Total,Total,Total,0.18897306359023,0.018668793301358,0.098790763861666,13600.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
